Producto,Código (SKU),PVP (€)
Trampilla de acceso oculta universal EDPLIT – con consumibles,E20001,171.35
Trampilla de acceso oculta universal EDPLIT – sin consumibles,E20002,102.35
Sistema de montaje oculto para ventilador de baño EDPLIT 100mm -con consumibles,E30001,"218,50"
Sistema de montaje oculto para ventilador de baño EDPLIT 125mm -con consumibles,E30002,"263,35"
Sistema de montaje oculto para ventilador de baño EDPLIT 150mm -con consumibles,E30003,"286,35"
Sistema de montaje oculto para ventilador de baño EDPLIT 100mm -SIN consumibles,E30004,148.35
Sistema de montaje oculto para ventilador de baño EDPLIT 125mm -SIN consumibles,E30005,194.35
Sistema de montaje oculto para ventilador de baño EDPLIT 150mm -SIN consumibles,E30006,228.85
Ventilador de conducto Vents Quietline 100 mm,E30007,171.35
Ventilador de conducto Vents Quietline 125 mm,E30008,217.35
Ventilador de conducto Vents Quietline 150 mm,E30009,332.35
"M1 pulsador oculto Edplit Invisi Tile Touch, con consumibles (5 en 1 universal: Sigma, Omega, AlcaPlast, Delta, Tece)",E10001,448.50
"M1 pulsador oculto para Sigma, con consumibles (solo para instalación específica)",E10002,425.50
"M1 pulsador oculto para Omega, con consumibles (solo para instalación específica)",E10002,425.50
"M1 pulsador oculto para Alcaplast, con consumibles (solo para instalación específica)",E10002,425.50
"M1 pulsador oculto para Delta, con consumibles (solo para instalación específica)",E10003,425.50
"M1 pulsador oculto para Tece, con consumibles (solo para instalación específica)",E10004,425.50
"M2 pulsador oculto Edplit Invisi Tile Touch, con consumibles (5 en 1 universal: Sigma, Omega, AlcaPlast, Delta, Tece)",E10005,448.50
"M2 pulsador oculto para Sigma, con consumibles (solo para instalación específica)",E10006,425.50
"M2 pulsador oculto para Omega, con consumibles (solo para instalación específica)",E10006,425.50
"M2 pulsador oculto para Alcaplast, con consumibles (solo para instalación específica)",E10006,425.50
"M2 pulsador oculto para Delta, con consumibles (solo para instalación específica)",E10007,425.50
"M2 pulsador oculto para Tece, con consumibles (solo para instalación específica)",E10008,425.50
"M3 pulsador oculto Edplit InvisiFlush (solo para GROHE) – blanca, con consumibles",E10009,402.50
"M3 pulsador oculto Edplit InvisiFlush (solo para GROHE) – negra, con consumibles",E10010,402.50
"M1 pulsador oculto para OLI, con consumibles (solo para instalación específica)",E10024,425.50
"M2 pulsador oculto para OLI, con consumibles (solo para instalación específica)",E10025,425.50
"M1 pulsador oculto para Jomotech, con consumibles (solo para instalación específica)",E10028,425.50
"M2 pulsador oculto para Jomotech, con consumibles (solo para instalación específica)",E10029,425.50
M3 pulsador oculto Edplit InvisiFlush (solo para GROHE) – blanca,E10013,299.00
M3 pulsador oculto Edplit InvisiFlush (solo para GROHE) – negra,E10014,299.00
"M1 pulsador oculto Edplit Invisi Tile Touch, sin consumibles (5 en 1 universal: Sigma, Omega, AlcaPlast, Delta, Tece)",E10015,333.50
"M1 pulsador oculto para Sigma, sin consumibles (solo para instalación específica)",E10016,310.50
"M1 pulsador oculto para Omega, sin consumibles (solo para instalación específica)",E10016,310.50
"M1 pulsador oculto para Alcaplast, sin consumibles (solo para instalación específica)",E10016,310.50
"M1 pulsador oculto para Delta, sin consumibles (solo para instalación específica)",E10017,310.50
"M1 pulsador oculto para Tece, sin consumibles (solo para instalación específica)",E10018,310.50
"M2 pulsador oculto para Sigma, sin consumibles (solo para instalación específica)",E10019,310.50
"M2 pulsador oculto para Omega, sin consumibles (solo para instalación específica)",E10019,310.50
"M2 pulsador oculto para Alcaplast, sin consumibles (solo para instalación específica)",E10019,310.50
"M2 pulsador oculto para Delta, sin consumibles (solo para instalación específica)",E10020,310.50
"M2 pulsador oculto para Tece, sin consumibles (solo para instalación específica)",E10021,310.50
"M2 pulsador oculto Edplit Invisi Tile Touch, sin consumibles (5 en 1 universal: Sigma, Omega, AlcaPlast, Delta, Tece)",E10022,333.50
"M1 pulsador oculto para OLI, sin consumibles (solo para instalación específica)",E10026,310.50
"M2 pulsador oculto para OLI, sin consumibles (solo para instalación específica)",E10027,310.50
"M1 pulsador oculto para Jomotech, sin consumibles (solo para instalación específica)",E10030,310.50
"M2 pulsador oculto para Jomotech, sin consumibles (solo para instalación específica)",E10031,310.50
Marco oculto EDPLIT para enchufe e interruptor – simple,E40009,10.81
Marco oculto EDPLIT para enchufe e interruptor – doble,E40010,19.55
Marco oculto EDPLIT para enchufe e interruptor – triple,E40011,28.75
Marco oculto EDPLIT para enchufe e interruptor – cuádruple,E40012,36.80
Mecanismo de enchufe EDPLIT ONE (tipo F) – negro/blanco/beige,E40013/E40014/E40015,56.35
Interruptor invisible EDPLIT – simple,E40016,56.35
Interruptor invisible EDPLIT – doble,E40017,79.35
Juego de soportes ocultos para toallas (3 uds.),E60001,109.25
Juego de soportes ocultos para toallas (5 uds.),E60002,159.85
