Producto,Código (SKU),PVP (€),10%,15%,20%,25%,30%
Trampilla de acceso oculta ESTANDARD EDPLIT – con consumibles,E20005,126,113.4,107.1,100.8,94.5,88.2
Trampilla de acceso oculta ESTANDARD Plus EDPLIT – con consumibles,E20003,171.35,154.22,145.65,137.08,128.51,119.95
Trampilla de acceso oculta Pro EDPLIT – con consumibles,E20007,206,185.4,175.1,164.8,154.5,144.2
Trampilla de acceso oculta ESTANDARD EDPLIT – sin consumibles,E20006,68,61.2,57.8,54.4,51,47.6
Trampilla de acceso oculta ESTANDARD Plus EDPLIT – sin consumibles,E20004,103,92.7,87.55,82.4,77.25,72.1
Trampilla de acceso oculta Pro EDPLIT – sin consumibles,E20008,126,113.4,107.1,100.8,94.5,88.2
Sistema de montaje oculto para ventilador de baño EDPLIT 100mm -con consumibles,E30001,218.5,196.65,185.73,174.8,163.88,152.95
Sistema de montaje oculto para ventilador de baño EDPLIT 125mm -con consumibles,E30002,263.35,237.02,223.85,210.68,197.51,184.35
Sistema de montaje oculto para ventilador de baño EDPLIT 150mm -con consumibles,E30003,286.35,257.72,243.4,229.08,214.76,200.45
Sistema de montaje oculto para ventilador de baño EDPLIT 100mm -SIN consumibles,E30004,149,134.1,126.65,119.2,111.75,104.3
Sistema de montaje oculto para ventilador de baño EDPLIT 125mm -SIN consumibles,E30005,195,175.5,165.75,156,146.25,136.5
Sistema de montaje oculto para ventilador de baño EDPLIT 150mm -SIN consumibles,E30006,229,206.1,194.65,183.2,171.75,160.3
Ventilador de conducto Vents Quietline 100 mm,E30007,171.35,154.22,145.65,137.08,128.51,119.95
Ventilador de conducto Vents Quietline 125 mm,E30008,217.35,195.62,184.75,173.88,163.01,152.15
Ventilador de conducto Vents Quietline 150 mm,E30009,332.35,299.12,282.5,265.88,249.26,232.65
M1 pulsador oculto (7en1) Edplit con consumibles (7 en 1 Geberit: Sigma Omega Delta AlcaPlast Viega Tece TOTO),E10001,450,405,382.5,360,337.5,315
M1 (5en1) con consumibles (Geberit: Sigma Omega front Viega Alcaplast TOTO),E10002,430,387,365.5,344,322.5,301
M1 pulsador oculto para Geberit Delta con consumibles,E10003,430,387,365.5,344,322.5,301
M1 pulsador oculto para Tece con consumibles,E10004,430,387,365.5,344,322.5,301
M2 PRO pulsador oculto Edplit con consumibles (10 en 1 universal: Sigma Omega Delta AlcaPlast Viega Vitra TOTO Cersanit Jomotech Tece),E10051,450,405,382.5,360,337.5,315
M2 PRO pulsador oculto Edplit con consumibles (5 en 1 Geberit Sigma Omega front AlcaPlast Viega TOTO),E10052,430,387,365.5,344,322.5,301
M2 PRO pulsador oculto Edplit con consumibles 5 en 1 (Tece Vitra Cersanit Jomotec Geberit Delta),E10053,430,387,365.5,344,322.5,301
M3 pulsador oculto Edplit con consumibles (solo para GROHE) – blanca,E10009,402.5,362.25,342.13,322,301.88,281.75
M3 pulsador oculto Edplit con consumibles (solo para GROHE) – negra,E10010,402.5,362.25,342.13,322,301.88,281.75
M1 pulsador oculto para OLI con consumibles (solo para instalacion especifica),E10024,430,387,365.5,344,322.5,301
M4 UNIVERSAL (11 en 1) con consumibles Geberit Sigma Omega front Delta AlcaPlast Tece Viega Vitra Cersanit Noken Jomotech TOTO,E10043,506,455.4,430.1,404.8,379.5,354.2
