Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,SEO Title,SEO Description,Status
e20001,Trampilla de acceso oculta universal EDPLIT – con consumibles,"<div class=""product-description"">
<p class=""delivery-badge"" style=""background:#f4f4f4; padding:8px; border-radius:4px; font-weight:bold; color:#b8956e;"">
    🚚 Plazo de entrega: 24-48h si hay stock | 8-15 días si requiere reposición
</p>

<h3>Descripción</h3>
<p>Trampilla de acceso oculta universal EDPLIT – con consumibles</p>

<h3>Especificaciones Técnicas</h3>
<ul>
    <li><strong>SKU:</strong> E20001</li>
    <li><strong>Categoría:</strong> Tapas de Registro</li>
    <li><strong>Montaje:</strong> Sistema oculto sin marco visible.</li>
</ul>

<h3>Servicios para Profesionales B2B</h3>
<p>Si eres arquitecto, interioristas o instalador, solicita tu cuenta profesional para acceder a tarifas especiales y soporte técnico prioritario en <a href=""mailto:info@edplit.es"">info@edplit.es</a>.</p>
</div>",EDPLIT España,Tapas de Registro,"con-consumibles,STOCK_ES",TRUE,Title,Default Title,E20001,800,shopify,0,continue,manual,171.35,TRUE,TRUE,https://edplit.es/images/products/e20001.jpg,1,Trampilla de acceso oculta universal EDPLIT – con consumibles | Soluciones Ocultas EDPLIT,Trampilla de acceso oculta universal EDPLIT – con consumibles. Plazo de entrega: 24-48h si hay stock | 8-15 días si requiere reposición. Alta calidad para baños minimalistas.,active
e20002,Trampilla de acceso oculta universal EDPLIT – sin consumibles,"<div class=""product-description"">
<p class=""delivery-badge"" style=""background:#f4f4f4; padding:8px; border-radius:4px; font-weight:bold; color:#b8956e;"">
    🚚 Plazo de entrega: 24-48h si hay stock | 8-15 días si requiere reposición
</p>

<h3>Descripción</h3>
<p>Trampilla de acceso oculta universal EDPLIT – sin consumibles</p>

<h3>Especificaciones Técnicas</h3>
<ul>
    <li><strong>SKU:</strong> E20002</li>
    <li><strong>Categoría:</strong> Tapas de Registro</li>
    <li><strong>Montaje:</strong> Sistema oculto sin marco visible.</li>
</ul>

<h3>Servicios para Profesionales B2B</h3>
<p>Si eres arquitecto, interioristas o instalador, solicita tu cuenta profesional para acceder a tarifas especiales y soporte técnico prioritario en <a href=""mailto:info@edplit.es"">info@edplit.es</a>.</p>
</div>",EDPLIT España,Tapas de Registro,"STOCK_ES,sin-consumibles",TRUE,Title,Default Title,E20002,800,shopify,0,continue,manual,102.35,TRUE,TRUE,https://edplit.es/images/products/e20002.jpg,1,Trampilla de acceso oculta universal EDPLIT – sin consumibles | Soluciones Ocultas EDPLIT,Trampilla de acceso oculta universal EDPLIT – sin consumibles. Plazo de entrega: 24-48h si hay stock | 8-15 días si requiere reposición. Alta calidad para baños minimalistas.,active
e30001,Sistema de montaje oculto para ventilador de baño EDPLIT 100mm -con consumibles,"<div class=""product-description"">
<p class=""delivery-badge"" style=""background:#f4f4f4; padding:8px; border-radius:4px; font-weight:bold; color:#b8956e;"">
    🚚 Plazo de entrega: 24-48h si hay stock | 8-15 días si requiere reposición
</p>

<h3>Descripción</h3>
<p>Sistema de montaje oculto para ventilador de baño EDPLIT 100mm -con consumibles</p>

<h3>Especificaciones Técnicas</h3>
<ul>
    <li><strong>SKU:</strong> E30001</li>
    <li><strong>Categoría:</strong> Ventiladores</li>
    <li><strong>Montaje:</strong> Sistema oculto sin marco visible.</li>
</ul>

<h3>Servicios para Profesionales B2B</h3>
<p>Si eres arquitecto, interioristas o instalador, solicita tu cuenta profesional para acceder a tarifas especiales y soporte técnico prioritario en <a href=""mailto:info@edplit.es"">info@edplit.es</a>.</p>
</div>",EDPLIT España,Ventiladores,"con-consumibles,oculto,STOCK_ES",TRUE,Title,Default Title,E30001,800,shopify,0,continue,manual,218.50,TRUE,TRUE,https://edplit.es/images/products/e30001.jpg,1,Sistema de montaje oculto para ventilador de baño EDPLIT 100mm -con consumibles | Soluciones Ocultas EDPLIT,Sistema de montaje oculto para ventilador de baño EDPLIT 100mm -con consumibles. Plazo de entrega: 24-48h si hay stock | 8-15 días si requiere reposición. Alta calidad para baños minimalistas.,active
e30002,Sistema de montaje oculto para ventilador de baño EDPLIT 125mm -con consumibles,"<div class=""product-description"">
<p class=""delivery-badge"" style=""background:#f4f4f4; padding:8px; border-radius:4px; font-weight:bold; color:#b8956e;"">
    🚚 Plazo de entrega: 24-48h si hay stock | 8-15 días si requiere reposición
</p>

<h3>Descripción</h3>
<p>Sistema de montaje oculto para ventilador de baño EDPLIT 125mm -con consumibles</p>

<h3>Especificaciones Técnicas</h3>
<ul>
    <li><strong>SKU:</strong> E30002</li>
    <li><strong>Categoría:</strong> Ventiladores</li>
    <li><strong>Montaje:</strong> Sistema oculto sin marco visible.</li>
</ul>

<h3>Servicios para Profesionales B2B</h3>
<p>Si eres arquitecto, interioristas o instalador, solicita tu cuenta profesional para acceder a tarifas especiales y soporte técnico prioritario en <a href=""mailto:info@edplit.es"">info@edplit.es</a>.</p>
</div>",EDPLIT España,Ventiladores,"con-consumibles,oculto,STOCK_ES",TRUE,Title,Default Title,E30002,800,shopify,0,continue,manual,263.35,TRUE,TRUE,https://edplit.es/images/products/e30002.jpg,1,Sistema de montaje oculto para ventilador de baño EDPLIT 125mm -con consumibles | Soluciones Ocultas EDPLIT,Sistema de montaje oculto para ventilador de baño EDPLIT 125mm -con consumibles. Plazo de entrega: 24-48h si hay stock | 8-15 días si requiere reposición. Alta calidad para baños minimalistas.,active
e30003,Sistema de montaje oculto para ventilador de baño EDPLIT 150mm -con consumibles,"<div class=""product-description"">
<p class=""delivery-badge"" style=""background:#f4f4f4; padding:8px; border-radius:4px; font-weight:bold; color:#b8956e;"">
    🚚 Plazo de entrega: 24-48h si hay stock | 8-15 días si requiere reposición
</p>

<h3>Descripción</h3>
<p>Sistema de montaje oculto para ventilador de baño EDPLIT 150mm -con consumibles</p>

<h3>Especificaciones Técnicas</h3>
<ul>
    <li><strong>SKU:</strong> E30003</li>
    <li><strong>Categoría:</strong> Ventiladores</li>
    <li><strong>Montaje:</strong> Sistema oculto sin marco visible.</li>
</ul>

<h3>Servicios para Profesionales B2B</h3>
<p>Si eres arquitecto, interioristas o instalador, solicita tu cuenta profesional para acceder a tarifas especiales y soporte técnico prioritario en <a href=""mailto:info@edplit.es"">info@edplit.es</a>.</p>
</div>",EDPLIT España,Ventiladores,"con-consumibles,oculto,STOCK_ES",TRUE,Title,Default Title,E30003,800,shopify,0,continue,manual,286.35,TRUE,TRUE,https://edplit.es/images/products/e30003.jpg,1,Sistema de montaje oculto para ventilador de baño EDPLIT 150mm -con consumibles | Soluciones Ocultas EDPLIT,Sistema de montaje oculto para ventilador de baño EDPLIT 150mm -con consumibles. Plazo de entrega: 24-48h si hay stock | 8-15 días si requiere reposición. Alta calidad para baños minimalistas.,active
e30004,Sistema de montaje oculto para ventilador de baño EDPLIT 100mm -SIN consumibles,"<div class=""product-description"">
<p class=""delivery-badge"" style=""background:#f4f4f4; padding:8px; border-radius:4px; font-weight:bold; color:#b8956e;"">
    🚚 Plazo de entrega: 24-48h si hay stock | 8-15 días si requiere reposición
</p>

<h3>Descripción</h3>
<p>Sistema de montaje oculto para ventilador de baño EDPLIT 100mm -SIN consumibles</p>

<h3>Especificaciones Técnicas</h3>
<ul>
    <li><strong>SKU:</strong> E30004</li>
    <li><strong>Categoría:</strong> Ventiladores</li>
    <li><strong>Montaje:</strong> Sistema oculto sin marco visible.</li>
</ul>

<h3>Servicios para Profesionales B2B</h3>
<p>Si eres arquitecto, interioristas o instalador, solicita tu cuenta profesional para acceder a tarifas especiales y soporte técnico prioritario en <a href=""mailto:info@edplit.es"">info@edplit.es</a>.</p>
</div>",EDPLIT España,Ventiladores,"oculto,STOCK_ES,sin-consumibles",TRUE,Title,Default Title,E30004,800,shopify,0,continue,manual,148.35,TRUE,TRUE,https://edplit.es/images/products/e30004.jpg,1,Sistema de montaje oculto para ventilador de baño EDPLIT 100mm -SIN consumibles | Soluciones Ocultas EDPLIT,Sistema de montaje oculto para ventilador de baño EDPLIT 100mm -SIN consumibles. Plazo de entrega: 24-48h si hay stock | 8-15 días si requiere reposición. Alta calidad para baños minimalistas.,active
e30005,Sistema de montaje oculto para ventilador de baño EDPLIT 125mm -SIN consumibles,"<div class=""product-description"">
<p class=""delivery-badge"" style=""background:#f4f4f4; padding:8px; border-radius:4px; font-weight:bold; color:#b8956e;"">
    🚚 Plazo de entrega: 24-48h si hay stock | 8-15 días si requiere reposición
</p>

<h3>Descripción</h3>
<p>Sistema de montaje oculto para ventilador de baño EDPLIT 125mm -SIN consumibles</p>

<h3>Especificaciones Técnicas</h3>
<ul>
    <li><strong>SKU:</strong> E30005</li>
    <li><strong>Categoría:</strong> Ventiladores</li>
    <li><strong>Montaje:</strong> Sistema oculto sin marco visible.</li>
</ul>

<h3>Servicios para Profesionales B2B</h3>
<p>Si eres arquitecto, interioristas o instalador, solicita tu cuenta profesional para acceder a tarifas especiales y soporte técnico prioritario en <a href=""mailto:info@edplit.es"">info@edplit.es</a>.</p>
</div>",EDPLIT España,Ventiladores,"oculto,STOCK_ES,sin-consumibles",TRUE,Title,Default Title,E30005,800,shopify,0,continue,manual,194.35,TRUE,TRUE,https://edplit.es/images/products/e30005.jpg,1,Sistema de montaje oculto para ventilador de baño EDPLIT 125mm -SIN consumibles | Soluciones Ocultas EDPLIT,Sistema de montaje oculto para ventilador de baño EDPLIT 125mm -SIN consumibles. Plazo de entrega: 24-48h si hay stock | 8-15 días si requiere reposición. Alta calidad para baños minimalistas.,active
e30006,Sistema de montaje oculto para ventilador de baño EDPLIT 150mm -SIN consumibles,"<div class=""product-description"">
<p class=""delivery-badge"" style=""background:#f4f4f4; padding:8px; border-radius:4px; font-weight:bold; color:#b8956e;"">
    🚚 Plazo de entrega: 24-48h si hay stock | 8-15 días si requiere reposición
</p>

<h3>Descripción</h3>
<p>Sistema de montaje oculto para ventilador de baño EDPLIT 150mm -SIN consumibles</p>

<h3>Especificaciones Técnicas</h3>
<ul>
    <li><strong>SKU:</strong> E30006</li>
    <li><strong>Categoría:</strong> Ventiladores</li>
    <li><strong>Montaje:</strong> Sistema oculto sin marco visible.</li>
</ul>

<h3>Servicios para Profesionales B2B</h3>
<p>Si eres arquitecto, interioristas o instalador, solicita tu cuenta profesional para acceder a tarifas especiales y soporte técnico prioritario en <a href=""mailto:info@edplit.es"">info@edplit.es</a>.</p>
</div>",EDPLIT España,Ventiladores,"oculto,STOCK_ES,sin-consumibles",TRUE,Title,Default Title,E30006,800,shopify,0,continue,manual,228.85,TRUE,TRUE,https://edplit.es/images/products/e30006.jpg,1,Sistema de montaje oculto para ventilador de baño EDPLIT 150mm -SIN consumibles | Soluciones Ocultas EDPLIT,Sistema de montaje oculto para ventilador de baño EDPLIT 150mm -SIN consumibles. Plazo de entrega: 24-48h si hay stock | 8-15 días si requiere reposición. Alta calidad para baños minimalistas.,active
e30007,Ventilador de conducto Vents Quietline 100 mm,"<div class=""product-description"">
<p class=""delivery-badge"" style=""background:#f4f4f4; padding:8px; border-radius:4px; font-weight:bold; color:#b8956e;"">
    🚚 Plazo de entrega: 24-48h si hay stock | 8-15 días si requiere reposición
</p>

<h3>Descripción</h3>
<p>Ventilador de conducto Vents Quietline 100 mm</p>

<h3>Especificaciones Técnicas</h3>
<ul>
    <li><strong>SKU:</strong> E30007</li>
    <li><strong>Categoría:</strong> Ventiladores</li>
    <li><strong>Montaje:</strong> Sistema oculto sin marco visible.</li>
</ul>

<h3>Servicios para Profesionales B2B</h3>
<p>Si eres arquitecto, interioristas o instalador, solicita tu cuenta profesional para acceder a tarifas especiales y soporte técnico prioritario en <a href=""mailto:info@edplit.es"">info@edplit.es</a>.</p>
</div>",EDPLIT España,Ventiladores,STOCK_ES,TRUE,Title,Default Title,E30007,800,shopify,0,continue,manual,171.35,TRUE,TRUE,https://edplit.es/images/products/e30007.jpg,1,Ventilador de conducto Vents Quietline 100 mm | Soluciones Ocultas EDPLIT,Ventilador de conducto Vents Quietline 100 mm. Plazo de entrega: 24-48h si hay stock | 8-15 días si requiere reposición. Alta calidad para baños minimalistas.,active
e30008,Ventilador de conducto Vents Quietline 125 mm,"<div class=""product-description"">
<p class=""delivery-badge"" style=""background:#f4f4f4; padding:8px; border-radius:4px; font-weight:bold; color:#b8956e;"">
    🚚 Plazo de entrega: 24-48h si hay stock | 8-15 días si requiere reposición
</p>

<h3>Descripción</h3>
<p>Ventilador de conducto Vents Quietline 125 mm</p>

<h3>Especificaciones Técnicas</h3>
<ul>
    <li><strong>SKU:</strong> E30008</li>
    <li><strong>Categoría:</strong> Ventiladores</li>
    <li><strong>Montaje:</strong> Sistema oculto sin marco visible.</li>
</ul>

<h3>Servicios para Profesionales B2B</h3>
<p>Si eres arquitecto, interioristas o instalador, solicita tu cuenta profesional para acceder a tarifas especiales y soporte técnico prioritario en <a href=""mailto:info@edplit.es"">info@edplit.es</a>.</p>
</div>",EDPLIT España,Ventiladores,STOCK_ES,TRUE,Title,Default Title,E30008,800,shopify,0,continue,manual,217.35,TRUE,TRUE,https://edplit.es/images/products/e30008.jpg,1,Ventilador de conducto Vents Quietline 125 mm | Soluciones Ocultas EDPLIT,Ventilador de conducto Vents Quietline 125 mm. Plazo de entrega: 24-48h si hay stock | 8-15 días si requiere reposición. Alta calidad para baños minimalistas.,active
